131 | 579 | 475 | 19134 | 19135
131 | 579 | 475 | 19150 | 19151
131 | 475 | 579 | 19166 | 19167
131 | 579 | 641 | 19191 | 19192
131 | 579 | 648 | 19279 | 19280
131 |   1 |   3 | 22152 | 22153
131 |   1 |   3 | 22174 | 22175
131 |   1 |   3 | 22196 | 22197
131 |   1 |   3 | 22218 | 22219
131 |   3 |   1 | 22240 | 22241
131 |   3 |   1 | 22284 | 22285
131 |   1 |   3 | 22395 | 22396
131 |   1 |   3 | 22439 | 22440
131 |   1 |   3 | 22461 | 22462
131 |   1 |   3 | 22482 | 22483
131 |   3 |   1 | 22500 | 22501
131 |   1 |   3 | 22538 | 22539
131 |   1 |   3 | 22576 | 22577
131 |   3 |   1 | 22616 | 22617
131 |   1 |   3 | 22656 | 22657
131 |   3 |   1 | 22676 | 22677
131 |   1 |   3 | 22696 | 22697
131 |   1 |   3 | 22736 | 22737
131 |   1 |   3 | 22796 | 22797
131 |   1 |   3 | 22837 | 22838
131 |   3 |   1 | 22857 | 22858
131 |   3 |   1 | 22877 | 22878
131 |   3 |   1 | 22897 | 22898
131 |   3 |   1 | 22917 | 22918
131 |   3 |   1 | 22983 | 22984
131 |   1 |   3 | 23137 | 23138
131 |   3 |   1 | 23203 | 23204
131 |   1 |   3 | 23291 | 23292
131 |   1 |   3 | 23313 | 23314
131 |   1 |   3 | 23335 | 23336
131 |   1 |   3 | 23357 | 23358
131 |   1 | 822 | 23499 | 23500
131 |   1 | 822 | 23562 | 23563
131 |   1 | 822 | 23622 | 23623
131 | 822 |   1 | 23762 | 23763
131 |   1 | 822 | 23862 | 23863
131 |   1 | 822 | 23983 | 23984
131 |   1 | 822 | 24083 | 24084
131 |   1 | 822 | 24103 | 24104
131 | 822 |   1 | 24203 | 24204
131 |   1 | 822 | 24223 | 24224
131 |   1 | 822 | 24243 | 24244
131 | 822 |   1 | 24263 | 24264
131 |   1 | 822 | 24283 | 24284
131 |   1 | 822 | 24346 | 24347
131 |   1 | 822 | 24386 | 24387
131 |   1 | 822 | 24506 | 24507
131 | 822 |   1 | 24566 | 24567
131 |   1 | 822 | 24646 | 24647
131 |   1 | 822 | 24746 | 24747
131 |   1 | 822 | 24786 | 24787
131 |   1 | 822 | 24846 | 24847
131 |   1 | 822 | 24866 | 24867
